"Question Number","Question","Answer 1(correct one)","Answer 2","Answer 3","Answer 4","FB2/image_path"
"13","Wie legen Sie unter Einfluss von Wind und Strom an","So weit wie möglich gegen Wind- und Stromrichtung","Wind und Strom sind nur bei Segeljachten zu beachten","So weit wie möglich mit Wind- und Stromrichtung","Wind und Strom können beim Anlegen vernachlässigt werden",""
"14","Welche Vorbereitung treffen Sie unter anderem, wenn Sie längsseits anlegen wollen","Einweisung der Crew, Vorbereitung von Festmachern und Fendern","Vorbereiten von Bootshaken und Beiboot","Feststellen der genauen Position","Einholen des aktuellen Wetterberichts",""
"15","Was ist der Reck einer Leine","Der Reck einer Leine gibt an, um wie viel Prozent sich eine Leine bei Belastung dehnt eher sie bricht","Reck ist ein seemännischer Ausdruck für die Bruchlast einer Leine","Der Reck einer Leine gibt an, um wie viel Prozent sie sich verkürzt, wenn sie nass wird","Der Begriff Reck wird bei Leinen nicht verwendet",""
"16","Welchen Knoten verwenden Sie zum Verbinden zweier gleich starker Leinen","Einen Kreuzknoten","Einen Webeleinstek","2 halbe Schläge","Einen Stopperstek",""
"17","Ist dieser Palstek korrekt geknüpft","Nein, dieser Knoten zieht sich bei Belastung nahezu unlösbar zusammen","Nein, dieser Knoten ist unseemännisch","Ja, dieser Knoten ist korrekt geknüpft","Nein, dieser Knoten löst sich bei Belastung","FB2/image_17.png"
"18","In welche Richtung legen Sie beim Drehen am Teller das Ruder","In die Richtung, in die das Heck durch den Radeffekt in Vorwärtsfahrt versetzt wird","In die Richtung, in die das Schiff nicht drehen soll","Die Ruderlage muss mittig sein. Die Drehung erfolgt ausschließlich durch den Radeffekt","In die Richtung, in die das Heck durch den Radeffekt bei Rückwärtsfahrt versetzt wird",""
"19","Woher können Sie Informationen über den Ankergrund beziehen","Aus der Seekarte","Aus dem Leuchtfeuerverzeichnis","Aus dem Ankerbuchthandbuch","Aus den Nachrichten für Seefahrer",""
"20","In welche Richtung wird das Heck einer Jacht durch den Radeffekt versetzt","In Drehrichtung der Schraube","Gar nicht","Gegen die Drehrichtung der Schraube","Das ist nicht vorhersehbar",""
"21","Welcher Anker ist hier abgebildet","Ein Danforth Anker","Ein Bruce Anker","Ein Pflugschar Anker","Ein Jambo Anker","FB2/image_21.png"
"22","Kann der Radeffekt einer Jacht beim Anlegen genutzt werden","Ja, da durch den Radeffekt auf engeren Räumen manövriert werden kann","Nein, der Radeffekt ist beim An- und Ablegen immer störend","Der Radeffekt spielt bei Hafenmanövern keine Rolle","Ja, aber nur in Vorausfahrt",""
"23","Wie heißt die in der Abbildung gezeigte seemännische Arbeit","Augspleiß","Kurzspleiß","Rückspleiß","Langspleiß","FB2/image_23.png"
"24","Mit welchem Knoten befestigen Sie Fender an der Reling","Mit einem Webeleinstek","Mit einem Roringstek","Mit einem Palstek","Mit einem Achterknoten",""
"25","Welche Leine sollte beim längsseits Anlegen zuerst gelegt werden","Die Vorspring","Die Achterspring","Die Vorleine","Die Heckleine",""
"26","Was sollten Sie bedenken, wenn Sie eine Ankerwache mit GPS einrichten","Dass der Schwojradius um die Genauigkeit des GPS vergrößert werden sollte","Dass die Ankerposition um den in der Seekarte angegebenen Wert berichtigt werden muss","Dass der Alarmton so laut gewählt wird, dass er auch in der Bugkabine wahrnehmbar ist","Dass die Schiffsposition um den in der Seekarte angegebenen Wert berichtigt werden muss",""
"27","Welche Leinen verwenden Sie, wenn Sie im Päckchen liegen","Leinen an der Mole belegt, Springs am innen liegenden Schiff","Nur Leinen an der Mole belegt, keine Springs","Leinen und Springs am innen liegenden Schiff belegt","Leinen am innen liegenden Schiff belegt, Springs an der Mole",""
"28","Ist der Radeffekt bei Vorwärts- oder Rückwärtsfahrt größer","Der Radeffekt ist bei Rückwärtsfahrt größer","Der Radeffekt wird durch die Fahrtrichtung nicht beeinflusst","Der Radeffekt ist bei Rückwärts- und Vorausfahrt gleich groß","Der Radeffekt ist bei Vorausfahrt größer",""
"29","Was ist im Hinblick auf die Leinenführung in Schleusens zu beachten","Dass die Leinen während des Schleusens bedient werden müssen","Während des Scheusens darf die Jacht keinesfalls irgendwo festgemacht sein und darf sich nur mit eigener Kraft auf der ihr zugewiesenen Position halten","Während des Scheusens darf man sich nur mit Hilfe des Bootshakens an der Schleusenmauer gehalten werden","Dass die Leinen während des Schleusens fest belegt und auf keinen Fall umbelegt werden dürfen",""
"30","Was ist ein Reiseplan","Eine Planung der Route mit ungefährer Fahrzeit und ungefährer Distanz zum Zielort","Ein Plan, welche Tätigkeiten die Crew während der Reise zu erledigen hat","Ein Plan, welche Arbeiten der Skipper während der Fahrt durchzuführen hat","Ein Plan des Kabinenlayouts, damit sich die Crew während der Reise besser zurecht findet",""
"31","Kann sich die Bruchlast einer Leine aus Kunstfaser im Laufe der Zeit verändern","Ja, durch Sonneneinstrahlung, Salzwasser oder Verschmutzung können die Fasern einer Leine geschädigt werden und dadurch die Leine an Bruchlast verlieren","Nein, eine Kunstfaserleine ändert ihre Eigenschaften nicht","Ja, durch oftmalige Benutzung wird eine Leine langsam ihre Bruchlast verlieren","Ja, durch unsachgemäße, feuchte Lagerung kann Kunstfasertauwerk verrotten.",""
"32","Was ist beim Liegen im Päckchen zu beachten","Dass die Leinen an Land und die Springs am innen liegenden Schiff befestigt werden","Dass nur Springs am innen liegenden Schiff befestigt werden","Dass nur Leinen verwendet werden, die an Land befestigt werden","Dass sowohl die Leinen als auch die Springs am innen liegenden Schiff befestigt werden",""
"33","Ist ein Schiffsführer zur Hilfeleistung auf See verpflichtet","Ja, der Schiffsführer ist zur Hilfeleistung auf See verpflichtet","Nein, Hilfeleistung auf See ist nicht verpflichtend","Nein, es gehört allerdings zur guten Seemannschaft.","Ja, allerdings nur, wenn Notsignale abgegeben wurden",""
"34","Was bedenken Sie bei der Aufgabenverteilung an die Crew","Körperliche und geistige Fähigkeiten der einzelnen Crewmitglieder","Aufgaben werden nach Kabinenbelegung verteilt","Nichts, alle Aufgaben werden abwechselnd von allen Crewmitgliedern bewältigt","Berufliche Ausbildung der einzelnen Crewmitglieder",""
"35","Ist Ankern in Naturschutzgebieten generell verboten","In Naturschutzgebieten kann ankern sowohl erlaubt als auch verboten sein. Darüber muss sich der Schiffsführer vor Antritt der Fahrt informieren","Naturschutzgebiete dürfen weltweit nicht befahren werden","In Naturschutzgebieten ist es weltweit verboten zu ankern","In Naturschutzgebieten darf nur mit speziellen Schonankern geankert werden",""
"36","Wie sollte die Ankerkette im Ankerkasten befestigt sein","Mit einem ausreichend dimensionierten Tampen","Mit einem Schäkel","An einem dafür vorgesehenen Beschlag angeschweißt","Die Kette sollte nicht mit dem Schiff verbunden sein, damit sie im Notfall schnell ausrauschen kann",""
"37","In welche Richtung wird das Heck durch den Radeffekt versetzt","Das Heck wird immer in Drehrichtung des Propellers versetzt","Das Heck wird immer gegen die Drehrichtung des Propellers versetzt","In welche Richtung das Heck versetzt wird ist nicht vorhersehbar","Durch den Radeffekt wird der Bug, nicht das Heck, versetzt",""
"38","Sollten Sie eine elektrische Ankerwinsch ohne laufender Maschine verwenden","Nein, da der hohe Stromverbrauch die Batterien stark belastet","Ja, da sonst die Maschine zu stark beansprucht wird","Ja, weil der Einfluss der Lichtmaschine die Ankerwinsch überlasten kann","Nein, da die Ankerwinsch direkt von der Lichtmaschine betrieben wird",""
"39","Wie kann ein Tampen gegen das Aufdrüseln gesichert werden","Durch das Anbringen eines Taklings","Durch das Anbringen eines Rundtörns","Durch das Anbringen eines halben Schlages","Durch das Anbringen eines Steks",""
"40","Was ist bei einem Knoten in Hinblick auf die Bruchlast der Leine zu beachten","Je nach Beschaffenheit des Knotens kann die Bruchlast einer Leine bis auf die Hälfte des Ursprungswertes verringert werden","Knoten haben keine Auswirkung auf die Bruchlast einer Leine","Je nach Beschaffenheit des Knotens kann die Bruchlast einer Leine um bis zu 80 Prozent des Ursprungswertes verringert werden","Je nach Beschaffenheit eines Knotens kann die Bruchlast um bis zu 10 Prozent verringert werden",""
"41","Welche Angaben gehören in ein Logbuch","Alle Angaben, die die Schiffsführung betreffen","Lediglich Angaben zur Crew und Kabinenbelegung","Lediglich Angaben zur momentanen Position und geplanten Fahrt","Lediglich Angaben zum Kurs und zur Geschwindigkeit",""
"42","Ist diese Klampe korrekt belegt","Nein, eine Klampe sollte nicht mit einem Palstek belegt werden","Ja, diese Klampe ist korrekt belegt","Nein, dieser Palstek ist nicht korrekt geknüpft","Nein, an einer Klampe muss ein Palstek immer mit einem halben Schlag gesichert werden","FB2/image_42.png"
"43","Wie befestigen Sie Ihre Ankerkette an der Jacht nachdem der Anker eingefahren wurde","Mit Hilfe einer Leine an einer Klampe, um die Ankerwinsch zu entlasten","Direkt an der Ankerwinsch mit Hilfe des Kettenstoppers","Die Ankerkette wird mit Hilfe eines Palsteks an einer Klampe belegt","Gar nicht, die in der Ankerwinsch eingebaute Kettenbremse reicht vollkommen aus",""
"44","Was ist bei Manövern mit Bugstrahlruder zu beachten","Lang andauernde Benutzung des Bugstrahlruders kann dieses überhitzen","Bei der Verwendung des Bugstrahlruders ist nichts besonderes zu beachten","Bei Benutzung des Bugstrahlruders darf das normale Ruder nicht mehr verwendet werden, da es störende Einflüsse hat","Lang andauerndes Benutzen erhöht den Kraftstoffverbrauch wesentlich",""
"45","Was ist besonders zu beachten, wenn Sie mit dem Heck zur Mole liegen","Dass durch möglicherweise rasch geringer werdende Wassertiefe das Ruderblatt den Grund berührt","Dass noch genügend Platz für das Beiboot bis zur Mole gelassen wird","Dass die leeseitige Achterleine besonders stärker gespannt ist als die luvseitige","Dass alle Fender am Heck des Schiffes montiert werden",""
"46","Wie sollte eine Ankerleine beschaffen sein","Dehnbar und nicht schwimmfähig","Nicht dehnbar und nicht schwimmfähig","Nicht dehnbar und schwimmfähig","Dehnbar und schwimmfähig",""
"47","Hat Salzwasser eine Auswirkung auf Tauwerk aus Kunstfasern","Ja, das im Wasser enthaltene Salz kann die Fasern einer Leine beschädigen und damit die Bruchlast einer Leine verringern","Nein, Salzwasser hat keine Auswirkung auf eine Kunstfaserleine","Ja, durch UV-Strahlung (Sonnenlicht) verändert Salz die chemischen Eigenschaften von Kunstfasern","Ja, durch das getrocknete Salz bildet sich eine Schutzschicht um den Mantel einer Leine",""
"48","Was beachten Sie, wenn Sie eine kleinere Segeljacht abschleppen","Die Rumpfgeschwindigkeit der kleineren Jacht darf nicht überschritten werden","Es muss nichts besonderes beachtet werden, die Fahrt kann auch im Schlepp normal fortgesetzt werden","Die Rumpfgeschwindigkeit der größeren Jacht darf nicht überschritten werden","Es muss eine kleiner dimensionierte Schleppleine verwendet werden, um das Schleppgewicht zu reduzieren",""
"49","Was überprüfen Sie bei der Rettungsinsel","Das Überprüfungsdatum","Das Herstellerdatum","Die Dichtheit der Auftriebskörper","Das Ablaufdatum der in der Rettungsinsel enthaltenen Lebensmittel",""
"50","Nach welchen Kriterien wählen Sie Ihren Ankerplatz in Hinblick auf Wind und Wellen","Wenn möglich, einen Ankerplatz an der Leeseite einer Küste wählen","Wind und Wellen spielen für die Wahl des Ankerplatzes keine Rolle","Bei einem luvseitigen Ankerplatz unbedingt Landfeste ausbringen","Wenn möglich, einen Ankerplatz an der Luvseite einer Küste wählen",""
"51","Welches Seeventil sollte während der Fahrt nicht geschlossen werden","Das Seeventil für die Maschinenkühlung","Während der Fahrt müssen immer alle Seeventile geschlossen werden","Das Seeventil für die Bilgepumpe","Das Seeventil für den Fäkalientank",""
"52","Warum gibt es Jachten mit 24-Volt-Bordstrom","Weil bei doppelter Spannung nur die Hälfte des Stroms (Ampere) für die gleiche Leistung entnommen werden muss","Weil 24-Volt-Spannung bei Jachten üblich und daher die Elektronik billiger ist","Weil 24-Volt-Bordstrom weniger Batterien benötigt","Weil 24-Volt-Batterien schneller geladen werden können",""
"53","Wie können Sie den Stromverbrauch eines elektrischen Geräts errechnen","Anhand der Formel: Elektrische Leistung (Watt) = Stromspannung U (Volt) x Stromstärke I (Ampere)","Anhand der Formel: Stromverbrauch (Amperestunden) = Stromspannung U (Volt) x Zeit (Minuten)","Gar nicht, der Stromverbrauch ist nicht vorhersehbar","Anhand der Formel: Elektrische Leistung (Watt) = Stromspannung U (Volt) / Stromstärke I (Ampere)",""
"54","Was bewirkt die Parallelschaltung von zwei 12 V / 100 Ah-Bleiakkumulatoren","Doppelte Kapazität bei gleicher Spannung","Doppelte Spannung bei gleicher Kapazität","Weder Kapazität noch Spannung wird verändert, jedoch erzielt man eine höhere Ausfallssicherheit","Doppelte Spannung bei doppelter Kapazität",""
"55","Ist es sinnvoll, die Maschine einer Jacht längere Zeit bei starker Krängung zu betreiben","Nein, weil dadurch die Schmierung der Maschine ausfallen kann","Krängung spielt für Jachtmaschinen keine Rolle","Nein, weil der Propeller aus dem Wasser ragt","Nein, weil die Maschine dadurch einen größeren Radeffekt verursacht",""
"56","Was ist der Vorteil von Ottomotoren","In der Regel geringeres Gewicht und geringerer Hubraum im Vergleich zu Dieselmaschinen","Es ist keine Fremdzündung erforderlich","In der Regel ein geringerer Verbrauch gegenüber Dieselmaschinen","Es sind keine Ventile erforderlich",""
"57","Welches Ventil sollte immer geschlossen sein, wenn Sie den Gasherd nicht verwenden","Das Gasventil an der Gasflasche","Gasventile brauchen nicht geschlossen zu werden, da Gasflaschen ohnehin automatische Rückschlagventile eingebaut haben","Das Gasventil am Gasbrenner","Das Gasventil am Gasofen",""
"58","Was kontrollieren Sie nach dem Starten der Maschine","Ob Wasser aus dem Auspuff ausgestoßen wird","Ob der Motorölstand korrekt ist","Ob das Seeventil für die Kühlung geöffnet ist","Ob genügend Treibstoff im Tank ist",""
"59","Wie verhalten Sie sich, wenn Sie ihren Innenbordmotor betanken wollen","Maschine aus, kein offenes Licht oder Feuer","Kein offenes Feuer, vor dem Tanken die Tanköffnung erden","Maschine starten, damit die Treibstofföffnung entlüftet wird","Treibstoffhahn schließen und kein offenes Feuer",""
"60","Was ist zu beachten, wenn Sie einen Ottoinnenbordmotor starten wollen","Dass der Maschinenraum entlüftet werden muss","Dass das Seeventil zur Maschinenkühlung geschlossen wird","Dass der Treibstoffhahn geschlossen wird","Dass mindestens eine Minute lang vorgeglüht werden muss",""
"61","Ihre Maschine startet nicht. Was könnte die Ursache sein","Der Treibstoffhahn ist geschlossen","Das Seeventil für die Maschinenkühlung ist geschlossen","Es befindet sich eine Leine im Propeller","Der Hauptschalter für die Bordstrombatterien ist ausgeschaltet",""
"62","Wieviel Strom fließt, wenn Sie eine Glühbirne mit 24 Watt Leistung mit 12 Volt Spannung betreiben","2 Ampere","1 Ampere","2 Ohm","24 Volt",""
"63","Was ist zu beachten, wenn Sie eine Innenborddieselmaschine starten wollen","Ob der Treibstoffhahn geöffnet ist","Dass der Maschinenraum entlüftet wird","Dass das Seeventil für die Motorkühlung geschlossen ist","Dass keine Leine im Wasser ist",""
"64","Wie wird der Auspuff gekühlt","Mit Seewasser","Durch ein Gebläse mit Luft","Bei einem 2-Kreis-Kühlsystem mit dem 2. internen Kühlkreislauf, sonst mit Luft","Auf Jachten ist eine Auspuffkühlung nicht notwendig",""
"65","Was ist eine Stopfbuchse","Eine Wellendichtung bei Booten mit Wellenantrieb","Eine Dichtung zwischen Impeller und Wärmetauscher im Kühlsystem","Eine Öldichtung beim Getriebe","Eine Dichtung bei der Durchführung der Treibstoffleitung in den Maschinenraum",""
"66","Wie entsorgen Sie nach einem Ölwechsel ihr Altöl","An gekennzeichneten Altöl-Sammelstellen","Motoröl darf außerhalb der 12-Seemeilen-Grenze ins Meer eingebracht werden","Mit ausreichend Ölbindemittel darf Motoröl ins Meer eingebracht werden","In wasserdichten Behältnissen auf See",""
"67","Was ist zu beachten, wenn Sie bei einer Dieselmaschine den Tank leer gefahren haben","Dass nach dem Tanken die Treibstoffleitungen entlüftet werden","Dass die Zündkerzen der Dieselmaschine gereinigt werden","Dass der Motorraum ausreichend entlüftet wird (Explosionsgefahr)","Dass die Einspritzdüsen mindestens 5 Minuten lang mit Diesel gespült werden müssen",""
"68","Was ist zu beachten, wenn Sie einen Benzininnenbordmotor starten wollen","Dass der Maschinenraum vor dem Starten der Maschine entlüftet werden muss","Dass ausreichend lange vorgeglüht wird","Dass das Seeventil für die Maschinenkühlung erst geöffnet wird, nachdem die Maschine gestartet wurde","Dass der Luftfilter ausreichend mit Filteröl getränkt ist",""
"69","Was gehört ins Bord-WC","Ausschließlich Fäkalien und Wasser","Im Bord-WC kann bedenkenlos der gesamte Abfall entsorgt werden, wenn die Jacht einen Fäkalientank hat","Ausschließlich Fäkalien, Wasser und Lebensmittelabfälle","Ausschließlich Fäkalien, Toilettpapier und Wasser",""
"70","Was könnte weißer Auspuffrauch bedeuten","Wasserdampf. Es dringt Wasser in den Zylinder ein","Verbranntes Motoröl. Es wird Motoröl im Zylinder verbrannt","Weißer Rauch kann vor allem bei älteren Maschinen vorkommen und ist kein Grund zur Besorgnis","Schlechte Kraftstoffverbrennung. Der Kraftstoff im Zylinder wird schlecht verbrannt",""
"71","Mit welchen Daten muss der Steuerkompass berichtigt werden","Mit Missweisung und Ablenkung","Mit COG und SOG","Mit Wind- und Stromabdrift","Mit den Berichtigungen aufgrund unterschiedlicher Bezugssysteme von GPS und Seekarte",""
"72","Wie groß sollte der horizontale Aussendebereich eines RADAR-Gerätes sein","So klein wie möglich, damit die Auflösung so groß wie möglich ist","So groß wie möglich, damit die Auflösung so groß wie möglich ist","So groß wie möglich, damit die Auflösung so klein wie möglich ist","So groß wie möglich, damit der gleichzeitig abgetastete Bereich so groß wie möglich ist",""
"73","Ist ein nautisches Fernglas mit einem Peilkompass ausgestattet","Ein nautisches Fernglas kann mit einem Peilkompass ausgestattet sein, es muss aber nicht","Ja, Ferngläser ohne Peilkompass sind nicht für nautische Zwecke geeignet","In ein nautisches Fernglas kann kein Peilkompass eingebaut werden","Nein, nautische Ferngläser sind nie mit einem Peilkompass ausgestattet, da dieser viel zu ungenau wäre",""
"74","Kann eine Position vom GPS direkt in eine kroatische Seekarte übertragen werden","Nein, Positionen und Koordinaten vom GPS müssen auf Grund verschiedener Bezugsellipsoide auf der kroatischen Seekarte berichtigt werden","Ja, die Unterschiede sind für die Berücksichtigung in der Seefahrt zu gering","Nein, das Koordinatensystem vom GPS ist nicht kompatibel mit dem Koordinatensystem kroatischer Seekarten","Ja, es gibt keine Unterschiede",""
"75","Ist die Ausrüstung einer Jacht mit einer Peilscheibe im Fahrbereich 2 verpflichtend","Nein, Peilscheiben sind für keinen Fahrbereich vorgeschrieben und finden in der Sportschifffahrt auch beinahe keine Verwendung mehr","Ja, Peilscheiben sind zwingend vorgeschrieben","Nur, wenn kein Kompass an Bord ist","Obwohl Peilscheiben in der Schifffahrt beinahe keine Anwendung mehr finden, sind sie auf österreichischen Jachten vorgeschrieben",""
"76","Ihr RADAR ist auf den Head-Up-Modus eingestellt. Was bedeutet das","Die RADAR-Anzeige ist auf die Schiffslängsachse ausgerichtet","Die RADAR-Anzeige zeigt nur Ziele an, die sich recht voraus befinden","Die RADAR-Anzeige ist auf rechtweisend Nord ausgerichtet","Die RADAR-Anzeige ist auf den Schiffskurs ausgerichtet",""
"77","Wie wird Kurs und Geschwindigkeit vom Strom beeinflusst","Der Kurs wird immer in Richtung Strom abgelenkt, die Geschwindigkeit nimmt mit dem Strom zu, gegen den Strom ab","Der Kurs wird immer gegen die Richtung des Stroms abgelenkt, die Geschwindigkeit nimmt mit dem Strom zu, gegen den Strom ab","Strom hat keine Auswirkung auf den Kurs, die Geschwindigkeit nimmt mit dem Strom zu, gegen den Strom ab","Strom hat keine Auswirkung auf Kurs und Geschwindigkeit",""
"78","Was wird als Springzeit bezeichnet","Die Zeit von verstärkten Tidenhüben bei Vollmond und Neumond","Die Zeit von verstärkten Tidenhüben bei Halbmond","Die Zeit von abgeschwächten Tidenhüben bei Vollmond und Neumond","Die Zeit von abgeschwächten Tidenhüben bei Halbmond",""
"79","Was bedeutet der Modus magnetic bei einem elektronischen Kompass","Dass der Kompass auf magnetisch Nord ausgerichtet ist","Dass der elektronische Kompass gerade den magnetischen Fix verloren hat","Dass der magnetisch elektronische Kompass in Betrieb ist","Dass der elektronische Kompass starken magnetischen Einflüssen unterworfen ist",""
"80","Was wird mit dem graphischen Tidenkalender ermittelt","Mit dem graphischen Tidenkalender können Hoch- und Niedrigwasserzeiten ermittelt werden","Ein graphischer Tidenkalender stellt nur einen graphischen Verlauf der Tide dar. Es können daraus keine Werte ermittelt werden","Mit einem graphischen Tidenkalender können die Berichtigungswerte der betreffenden Anschlussorte berechnet werden","Mit einem graphischen Tidenkalender können Mond- und Sonnenfinsternisse berechnet werden",""
"81","Wie können Sie den Herausgeber einer Seekarte bestimmen","Der Herausgeber ist in der Legende der Seekarte angegeben","Der Herausgeber einer Seekarte ist auf der Seekarte nicht verzeichnet und muss beim Kauf erfragt werden","Der Herausgeber ist in der Nummer der Seekarte kodiert (zB 17 für das kroatische hydrographische Institut)","Der Herausgeber ist im amtlichen Herausgeberverzeichnis angeführt",""
"82","Woher können Sie den Gezeitenkalender für Venedig beziehen","Unter anderem aus dem Internet","Gezeitenkalender sind der Berufsschifffahrt vorbehalten und können daher nur von dieser bezogen werden","Die Daten können über Navtex bezogen werden","Unter anderem aus jedem Fachbuchhandel",""
"83","Womit wird die Luftfeuchtigkeit gemessen","Mit einem Hygrometer","Mit einem Barometer","Mit einem Anemometer","Mit einem Thermometer",""
"84","Was ist die INT1","Eine Zeichen- und Symbolerklärung für Seekarten","Ein internationales Abkommen, das die Symbole aller Seekarten vereinheitlichen soll","Ein Katalog für amtliche britsche Seekarten","Ein Verzeichnis aller Herausgeber von Seekarten",""
"85","Was ist ein Barograph","Ein Gerät, das den Luftdruck misst und die gemessenen Werte für eine bestimmte Zeitspanne anzeigt","Ein Gerät, das die Lufttemperatur misst und die gemessenen Werte über eine bestimmte Zeitspanne anzeigt","Ein Gerät, das die Windgeschwindigkeit misst und die gemessenen Werte über eine bestimmte Zeitspanne anzeigt","Ein Gerät, das die Luftfeuchtigkeit misst und die gemessenen Werte über eine bestimmte Zeitspanne anzeigt",""
"86","Welche Kräfte verursachen Gezeiten","Die Gravitation des Mondes und der Sonne","Die Kontinentaldrift der Kontinentalplatten auf der Erdkugel","Gezeiten entstehen durch Auswirkungen von Sonnenwinden auf höhere Atmosphärenschichten","Die Fliehkraft, die beim Umlauf der Erde um die Sonne entsteht",""
"87","Mit welchen Berichtigungen sollte der Steuerkompass korrigiert werden","Mit Missweisung und Ablenkung","Mit Fahrt über Grund und Fahrt durchs Wasser","Mit Ablenkung und Stromabdrift","Mit Missweisung und Windabdrift",""
"88","Was kontrollieren Sie bei der Übernahme einer Jacht im Hinblick auf das Echolot","Ob bei dem Echolot ein sogenannter Offset eingestellt ist","Ob das Echolot mit dem GPS verbunden ist","Ob das Echolot über Funk mit den Werten der herrschenden Tide berichtigt wird","Ob der Echolotgeber lotrecht im Schiff eingebaut ist",""
"89","Wie werden Peilungen mit RADAR im Head-Up-Modus angegeben","Als Seitenpeilungen","Als missweisende Peilungen","Als magnetische Peilungen","Als rechtweisende Peilungen",""
"90","Was ist ein Meridian","Ein halber Großkreis auf der Erdoberfläche vom Nordpol zum Südpol","Ein Kreis auf der Erdoberfläche parallel zum Äquator","Ein ganzer Großkreis auf der Erdoberfläche, der die Pole miteinander verbindet","Ein beliebiger halber Großkreis auf der Erdoberfläche",""
"91","Welche Tafelwerke können zur Ermittlung von Hoch- und Niedrigwasserzeiten und Höhen verwendet werden","Graphische Tidenkalender","Hafenhandbücher","Seekarten","Seetidenkarten",""
"92","Ist die Missweisung in allen Seegebieten immer die gleiche","Nein, der Wert der Missweisung ändert sich je nach Standort und ist der betreffenden Seekarte zu entnehmen","Ja, die Missweisung ist für alle Seegebiete gleich, ändert sich allerdings im Jahresverlauf","Nein, der Wert der Missweisung ist vom gerade anliegenden Kurs zu entnehmen","Ja, der Wert der Missweisung ist für alle Seegebiete gleich",""
